algo,alpha,lambda,purity,qps
G5,1.1,0.2,0.535555,8323.49
G5,1.1,0.4,0.51438,6334.14
G5,1.1,0.6,0.517165,5183.77
G5,1.1,0.8,0.50733,4339.56
G5,1.1,1,0.503222,3806.96
G5,1.1,1.2,0.506251,3315.88
G5,1.1,1.4,0.5011,3028.8
G5,1.1,1.6,0.51139,2818.5
G5,1.1,1.8,0.487599,27689.2
G5,1.1,2,0.487599,26335.8
G5,1.1,2.2,0.487599,26992.3
G5,1.1,2.4,0.487599,26113
G5,1.1,2.6,0.497236,25503.5
G5,1.1,2.8,0.491601,25527.4
G5,1.1,2,0.487599,26141.9
G5,1.3,2,0.487599,21831.7
G5,1.5,2,0.487599,26572
G5,1.7,2,0.487599,78281.4
G5,1.9,2,0.487599,78293
G5,2.1,2,0.487599,78326.9
G5,2.3,2,0.487599,78581.3
G5,2.5,2,0.487599,78745
G5,2.7,2,0.487599,78492.2
