algo,num_points,num_grids,gap,num_res,purity,qps
DStream,50000,811785632,3,31,0.58642,8150.77
DStream,100000,811785632,3,122,0.66795,4954.86
DStream,150000,811785632,3,159,0.703893,3259.26
DStream,200000,811785632,3,479,0.6601,2231.08
DStream,250000,1449617200,3,219,0.628976,1661.26
DStream,300000,1449617200,3,297,0.570747,1537.19
DStream,350000,1449617200,3,342,0.558103,1283.24
DStream,400000,1174989608,3,444,0.543972,1118.92
DStream,450000,1174989608,3,176,0.523851,1021.03
DStream,500000,1468737010,3,744,0.50569,910.488
