algo,workload,num_points,purity,qps,sum_us,mig_us,det_us,first_algo,final_algo,change_count,change_log
Birch,EDS,45690,0.0884876,135887,336234,NULL,NULL,NULL,NULL,NULL,NULL
Birch,EDS,100270,0.0793258,124836,803213,NULL,NULL,NULL,NULL,NULL,NULL
Birch,EDS,150645,0.0760397,123360,1221180,NULL,NULL,NULL,NULL,NULL,NULL
Birch,EDS,200060,0.0749875,119113,1679577,NULL,NULL,NULL,NULL,NULL,NULL
Birch,EDS,245270,0.0683492,117668,2084430,NULL,NULL,NULL,NULL,NULL,NULL
Birch,EDS_O,94270,0.164336,145450,648128,NULL,NULL,NULL,NULL,NULL,NULL
Birch,EDS_O,97360,0.159121,143143,680159,NULL,NULL,NULL,NULL,NULL,NULL
Birch,EDS_O,100000,0.17194,148303,674295,NULL,NULL,NULL,NULL,NULL,NULL
StreamKMeans,EDS,45690,0.658415,119202,383297,NULL,NULL,NULL,NULL,NULL,NULL
StreamKMeans,EDS,100270,0.493767,127046,789238,NULL,NULL,NULL,NULL,NULL,NULL
StreamKMeans,EDS,150645,0.380716,130675,1152825,NULL,NULL,NULL,NULL,NULL,NULL
StreamKMeans,EDS,200060,0.302614,133350,1500262,NULL,NULL,NULL,NULL,NULL,NULL
StreamKMeans,EDS,245270,0.259632,130193,1883891,NULL,NULL,NULL,NULL,NULL,NULL
StreamKMeans,EDS_O,94270,0.54118,124963,754383,NULL,NULL,NULL,NULL,NULL,NULL
StreamKMeans,EDS_O,97360,0.519094,131248,741799,NULL,NULL,NULL,NULL,NULL,NULL
StreamKMeans,EDS_O,100000,0.53114,126652,789562,NULL,NULL,NULL,NULL,NULL,NULL
CluStream,EDS,45690,0.0385642,5477.54,8341336,NULL,NULL,NULL,NULL,NULL,NULL
CluStream,EDS,100270,0.0175726,8244.01,12162773,NULL,NULL,NULL,NULL,NULL,NULL
CluStream,EDS,150645,0.0116964,9451.51,15938725,NULL,NULL,NULL,NULL,NULL,NULL
CluStream,EDS,200060,0.00880736,10075.4,19856333,NULL,NULL,NULL,NULL,NULL,NULL
CluStream,EDS,245270,0.00718392,10861.3,22582085,NULL,NULL,NULL,NULL,NULL,NULL
CluStream,EDS_O,94270,0.0292564,7963.2,11838210,NULL,NULL,NULL,NULL,NULL,NULL
CluStream,EDS_O,97360,0.0542317,8170.56,11915950,NULL,NULL,NULL,NULL,NULL,NULL
CluStream,EDS_O,100000,0.0792,8220.67,12164462,NULL,NULL,NULL,NULL,NULL,NULL
DenStream,EDS,45690,0.0889035,415516,109959,NULL,NULL,NULL,NULL,NULL,NULL
DenStream,EDS,100270,0.0441807,414179,242093,NULL,NULL,NULL,NULL,NULL,NULL
DenStream,EDS,150645,0.0294069,443540,339642,NULL,NULL,NULL,NULL,NULL,NULL
DenStream,EDS,200060,0.0282765,423668,472209,NULL,NULL,NULL,NULL,NULL,NULL
DenStream,EDS,245270,0.0230644,429615,570906,NULL,NULL,NULL,NULL,NULL,NULL
